캠페인,브랜드,모델,연식,부품계통,리콜월,12개월판정,최근경보월,선행개월,잠재대상대수
23V594000,KIA,OPTIMA PHEV,2018,STRUCTURE_LATCH,2023-08,미탐지,,,319436
23V594000,KIA,OPTIMA HYBRID,2017,STRUCTURE_LATCH,2023-08,미탐지,,,319436
23V594000,KIA,RIO,2017,STRUCTURE_LATCH,2023-08,미탐지,,,319436
23V594000,KIA,OPTIMA HYBRID,2018,STRUCTURE_LATCH,2023-08,미탐지,,,319436
23V594000,KIA,OPTIMA,2016,STRUCTURE_LATCH,2023-08,미탐지,,,319436
23V594000,KIA,OPTIMA PHEV,2017,STRUCTURE_LATCH,2023-08,미탐지,,,319436
23V594000,KIA,RIO,2016,STRUCTURE_LATCH,2023-08,미탐지,,,319436
23V649000,KIA,FORTE,2023,OTHER,2023-09,탐지,2023-06,3.0,3866
23V652000,KIA,OPTIMA,2015,BRAKES_STEERING,2023-09,탐지,2023-03,6.0,1730192
23V652000,KIA,CADENZA,2015,BRAKES_STEERING,2023-09,미탐지,,,1730192
23V652000,KIA,RIO,2015,BRAKES_STEERING,2023-09,미탐지,,,1730192
23V652000,KIA,K900,2015,BRAKES_STEERING,2023-09,미탐지,,,1730192
23V652000,KIA,CADENZA,2016,BRAKES_STEERING,2023-09,미탐지,,,1730192
23V652000,KIA,K900,2016,BRAKES_STEERING,2023-09,미탐지,,,1730192
23V652000,KIA,RIO,2016,BRAKES_STEERING,2023-09,미탐지,,,1730192
23V652000,KIA,K900,2017,BRAKES_STEERING,2023-09,미탐지,,,1730192
23V652000,KIA,RIO,2017,BRAKES_STEERING,2023-09,미탐지,,,1730192
23V652000,KIA,K900,2018,BRAKES_STEERING,2023-09,미탐지,,,1730192
23V652000,KIA,BORREGO,2015,BRAKES_STEERING,2023-09,미탐지,,,1730192
23V652000,KIA,BORREGO,2016,BRAKES_STEERING,2023-09,미탐지,,,1730192
23V652000,KIA,BORREGO,2017,BRAKES_STEERING,2023-09,미탐지,,,1730192
23V652000,KIA,BORREGO,2018,BRAKES_STEERING,2023-09,미탐지,,,1730192
23V652000,KIA,BORREGO,2019,BRAKES_STEERING,2023-09,미탐지,,,1730192
23V724000,KIA,SOUL EV,2015,ENGINE_FUEL,2023-10,탐지,2023-09,1.0,6262
23V724000,KIA,SOUL EV,2015,ELECTRICAL_BATTERY,2023-10,탐지,2023-01,9.0,6262
23V724000,KIA,SOUL EV,2016,ENGINE_FUEL,2023-10,탐지,2023-09,1.0,6262
23V724000,KIA,SOUL EV,2017,ENGINE_FUEL,2023-10,탐지,2023-09,1.0,6262
23V724000,KIA,SOUL EV,2017,ELECTRICAL_BATTERY,2023-10,탐지,2023-01,9.0,6262
23V724000,KIA,SOUL EV,2018,ENGINE_FUEL,2023-10,탐지,2023-09,1.0,6262
23V724000,KIA,SOUL EV,2018,ELECTRICAL_BATTERY,2023-10,탐지,2023-01,9.0,6262
23V724000,KIA,SOUL EV,2019,ENGINE_FUEL,2023-10,탐지,2023-09,1.0,6262
23V724000,KIA,SOUL EV,2019,ELECTRICAL_BATTERY,2023-10,탐지,2023-01,9.0,6262
23V901000,HYUNDAI,KONA,2024,ELECTRICAL_BATTERY,2023-12,미탐지,,,10984
23V149000,KIA,K5,2023,AIRBAG_SEATBELT,2023-03,미탐지,,,188912
23V149000,KIA,K5,2022,AIRBAG_SEATBELT,2023-03,탐지,2022-12,3.0,188912
23V149000,KIA,K5,2021,AIRBAG_SEATBELT,2023-03,미탐지,,,188912
23V179000,KIA,CARNIVAL,2023,OTHER,2023-03,미탐지,,,3555
23V179000,KIA,CARNIVAL,2022,OTHER,2023-03,탐지,2022-05,10.0,3555
23V181000,HYUNDAI,SANTA FE PLUG IN HYBRID,2023,OTHER,2023-03,미탐지,,,584784
23V181000,HYUNDAI,SANTA FE HYBRID,2021,OTHER,2023-03,미탐지,,,584784
23V181000,HYUNDAI,SANTA CRUZ,2023,OTHER,2023-03,미탐지,,,584784
23V181000,HYUNDAI,SANTA FE PLUG IN HYBRID,2022,OTHER,2023-03,미탐지,,,584784
23V181000,HYUNDAI,SANTA CRUZ,2022,OTHER,2023-03,탐지,2022-09,5.9,584784
23V181000,HYUNDAI,SANTA FE HYBRID,2022,OTHER,2023-03,미탐지,,,584784
23V181000,HYUNDAI,SANTA FE,2020,OTHER,2023-03,탐지,2022-09,5.9,584784
23V181000,HYUNDAI,SANTA FE,2019,OTHER,2023-03,미탐지,,,584784
23V181000,HYUNDAI,SANTA FE,2023,OTHER,2023-03,탐지,2023-02,0.9,584784
23V181000,HYUNDAI,SANTA FE,2022,OTHER,2023-03,탐지,2022-12,3.0,584784
23V181000,HYUNDAI,SANTA FE,2021,OTHER,2023-03,탐지,2022-07,8.0,584784
23V181000,HYUNDAI,SANTA FE HYBRID,2023,OTHER,2023-03,미탐지,,,584784
23V415000,HYUNDAI,PALISADE,2023,BRAKES_STEERING,2023-06,미탐지,,,322
23V526000,HYUNDAI,KONA,2023,ENGINE_FUEL,2023-07,미탐지,,,52109
23V526000,HYUNDAI,ELANTRA,2023,ENGINE_FUEL,2023-07,미탐지,,,52109
23V526000,HYUNDAI,TUCSON,2024,ENGINE_FUEL,2023-07,미탐지,,,52109
23V526000,HYUNDAI,TUCSON,2023,ENGINE_FUEL,2023-07,미탐지,,,52109
23V526000,HYUNDAI,SONATA,2023,ENGINE_FUEL,2023-07,미탐지,,,52109
23V526000,HYUNDAI,PALISADE,2023,ENGINE_FUEL,2023-07,미탐지,,,52109
23V526000,HYUNDAI,PALISADE,2024,ENGINE_FUEL,2023-07,미탐지,,,52109
23V534000,KIA,NIRO PHEV,2022,ENGINE_FUEL,2023-07,미탐지,,,121411
23V534000,KIA,NIRO PHEV,2019,ENGINE_FUEL,2023-07,미탐지,,,121411
23V534000,KIA,NIRO PHEV,2018,ENGINE_FUEL,2023-07,미탐지,,,121411
23V534000,KIA,NIRO,2017,ENGINE_FUEL,2023-07,미탐지,,,121411
23V534000,KIA,NIRO PHEV,2020,ENGINE_FUEL,2023-07,미탐지,,,121411
23V534000,KIA,NIRO PHEV,2021,ENGINE_FUEL,2023-07,미탐지,,,121411
23V534000,KIA,NIRO,2018,ENGINE_FUEL,2023-07,미탐지,,,121411
23V534000,KIA,NIRO,2019,ENGINE_FUEL,2023-07,미탐지,,,121411
23V534000,KIA,NIRO,2020,ENGINE_FUEL,2023-07,미탐지,,,121411
23V534000,KIA,NIRO,2021,ENGINE_FUEL,2023-07,미탐지,,,121411
23V534000,KIA,NIRO,2022,ENGINE_FUEL,2023-07,미탐지,,,121411
23V610000,KIA,SORENTO HYBRID,2023,OTHER,2023-08,미탐지,,,144979
23V610000,KIA,SORENTO,2023,OTHER,2023-08,미탐지,,,144979
23V610000,KIA,SORENTO HYBRID,2022,OTHER,2023-08,미탐지,,,144979
23V610000,KIA,SORENTO,2022,OTHER,2023-08,탐지,2022-12,8.0,144979
23V610000,KIA,SORENTO PHEV,2022,OTHER,2023-08,미탐지,,,144979
23V610000,KIA,SORENTO PHEV,2023,OTHER,2023-08,미탐지,,,144979
23V639000,KIA,SORENTO,2019,OTHER,2023-09,탐지,2023-04,5.0,83667
23V685000,HYUNDAI,20 40 12PIN EXTEN CHASS,2024,STRUCTURE_LATCH,2023-10,미탐지,,,562
23V685000,HYUNDAI,20 40 12PIN EXTEN CHASS,2022,STRUCTURE_LATCH,2023-10,미탐지,,,562
23V685000,HYUNDAI,20 40 12PIN EXTEN CHASS,2023,STRUCTURE_LATCH,2023-10,미탐지,,,562
23V236000,KIA,CARNIVAL,2022,STRUCTURE_LATCH,2023-03,탐지,2022-10,5.0,51568
23V236000,KIA,CARNIVAL,2023,STRUCTURE_LATCH,2023-03,미탐지,,,51568
23V298000,KIA,TELLURIDE,2023,ELECTRICAL_BATTERY,2023-04,탐지,2023-03,1.0,108936
23V298000,KIA,SOUL,2023,ELECTRICAL_BATTERY,2023-04,미탐지,,,108936
23V298000,KIA,SPORTAGE,2023,ELECTRICAL_BATTERY,2023-04,미탐지,,,108936
23V298000,KIA,NIRO,2023,ELECTRICAL_BATTERY,2023-04,미탐지,,,108936
23V298000,KIA,SPORTAGE HYBRID,2023,ELECTRICAL_BATTERY,2023-04,미탐지,,,108936
23V298000,KIA,NIRO PHEV,2023,ELECTRICAL_BATTERY,2023-04,미탐지,,,108936
23V298000,KIA,SPORTAGE PHEV,2023,ELECTRICAL_BATTERY,2023-04,미탐지,,,108936
23V218000,KIA,SOUL EV,2019,ELECTRICAL_BATTERY,2023-03,탐지,2023-01,1.9,2689
23V218000,KIA,SOUL EV,2018,ELECTRICAL_BATTERY,2023-03,탐지,2023-01,1.9,2689
23V218000,KIA,SOUL EV,2017,ELECTRICAL_BATTERY,2023-03,탐지,2023-01,1.9,2689
23V038000,HYUNDAI,TUCSON,2022,STRUCTURE_LATCH,2023-01,미탐지,,,16104
23V038000,HYUNDAI,SANTA CRUZ,2022,STRUCTURE_LATCH,2023-01,미탐지,,,16104
23V038000,HYUNDAI,SANTA CRUZ,2023,STRUCTURE_LATCH,2023-01,미탐지,,,16104
23V035000,KIA,TELLURIDE,2023,AIRBAG_SEATBELT,2023-01,미탐지,,,31943
23V531000,KIA,SPORTAGE,2023,ENGINE_FUEL,2023-07,탐지,2023-05,2.0,39765
23V531000,KIA,SELTOS,2023,ENGINE_FUEL,2023-07,미탐지,,,39765
23V531000,KIA,SOUL,2023,ENGINE_FUEL,2023-07,미탐지,,,39765
23V531000,KIA,SELTOS,2024,ENGINE_FUEL,2023-07,미탐지,,,39765
23V589000,HYUNDAI,ELANTRA HYBRID,2022,ELECTRICAL_BATTERY,2023-08,미탐지,,,37997
23V579000,KIA,SORENTO,2023,OTHER,2023-08,미탐지,,,50517
23V589000,HYUNDAI,ELANTRA HYBRID,2023,OTHER,2023-08,미탐지,,,37997
23V589000,HYUNDAI,ELANTRA HYBRID,2023,ELECTRICAL_BATTERY,2023-08,미탐지,,,37997
23V589000,HYUNDAI,ELANTRA HYBRID,2022,OTHER,2023-08,탐지,2022-08,12.0,37997
23V589000,HYUNDAI,ELANTRA HYBRID,2021,OTHER,2023-08,미탐지,,,37997
23V589000,HYUNDAI,ELANTRA HYBRID,2021,ELECTRICAL_BATTERY,2023-08,미탐지,,,37997
23V599000,HYUNDAI,PALISADE,2024,AIRBAG_SEATBELT,2023-08,미탐지,,,63
23V634000,KIA,STINGER,2020,ENGINE_FUEL,2023-09,미탐지,,,18224
23V634000,KIA,STINGER,2021,ENGINE_FUEL,2023-09,탐지,2022-12,9.0,18224
23V634000,KIA,STINGER,2018,ENGINE_FUEL,2023-09,미탐지,,,18224
23V634000,KIA,STINGER,2019,ENGINE_FUEL,2023-09,미탐지,,,18224
23V650000,HYUNDAI,KONA,2024,AIRBAG_SEATBELT,2023-09,미탐지,,,2354
23V651000,HYUNDAI,SONATA HYBRID,2015,BRAKES_STEERING,2023-09,미탐지,,,1649478
23V651000,HYUNDAI,ELANTRA COUPE,2015,BRAKES_STEERING,2023-09,미탐지,,,1649478
23V651000,HYUNDAI,AZERA,2015,BRAKES_STEERING,2023-09,미탐지,,,1649478
23V651000,HYUNDAI,ACCENT,2015,BRAKES_STEERING,2023-09,미탐지,,,1649478
23V651000,HYUNDAI,SANTA FE,2015,BRAKES_STEERING,2023-09,미탐지,,,1649478
23V651000,HYUNDAI,GENESIS COUPE,2015,BRAKES_STEERING,2023-09,미탐지,,,1649478
23V651000,HYUNDAI,EQUUS,2015,BRAKES_STEERING,2023-09,미탐지,,,1649478
23V651000,HYUNDAI,VELOSTER,2015,BRAKES_STEERING,2023-09,미탐지,,,1649478
23V651000,HYUNDAI,ELANTRA,2015,BRAKES_STEERING,2023-09,탐지,2023-04,5.0,1649478
23V651000,HYUNDAI,TUCSON FUEL CELL,2015,BRAKES_STEERING,2023-09,미탐지,,,1649478
23V830000,KIA,SOUL,2023,AIRBAG_SEATBELT,2023-12,미탐지,,,2967
23V830000,KIA,SELTOS,2024,AIRBAG_SEATBELT,2023-12,미탐지,,,2967
23V543000,HYUNDAI,DRY VAN TRAILER,2022,BRAKES_STEERING,2023-08,미탐지,,,2
23V556000,HYUNDAI,TUCSON,2024,OTHER,2023-08,미탐지,,,30
23V028000,HYUNDAI,SANTA FE PLUG IN HYBRID,2022,ENGINE_FUEL,2023-01,미탐지,,,326
23V027000,KIA,SORENTO PHEV,2022,ENGINE_FUEL,2023-01,미탐지,,,34
24V065000,HYUNDAI,IONIQ 6,2023,ENGINE_FUEL,2024-02,미탐지,,,1165
24V065000,HYUNDAI,IONIQ 5,2023,ENGINE_FUEL,2024-02,탐지,2023-06,8.0,1165
24V148000,KIA,TELLURIDE,2020,VISIBILITY_LIGHTING,2024-02,미탐지,,,35031
24V169000,KIA,STINGER,2018,ELECTRICAL_BATTERY,2024-03,미탐지,,,36248
24V169000,KIA,K900,2019,ELECTRICAL_BATTERY,2024-03,미탐지,,,36248
24V169000,KIA,STINGER,2019,ELECTRICAL_BATTERY,2024-03,미탐지,,,36248
24V169000,KIA,STINGER,2020,ELECTRICAL_BATTERY,2024-03,미탐지,,,36248
24V169000,KIA,K900,2020,ELECTRICAL_BATTERY,2024-03,미탐지,,,36248
24V169000,KIA,STINGER,2021,ELECTRICAL_BATTERY,2024-03,미탐지,,,36248
24V169000,KIA,STINGER,2022,ELECTRICAL_BATTERY,2024-03,미탐지,,,36248
24V169000,KIA,STINGER,2023,ELECTRICAL_BATTERY,2024-03,미탐지,,,36248
24V244000,KIA,FORTE,2023,OTHER,2024-04,탐지,2024-03,1.0,215
24V246000,HYUNDAI,SANTA FE,2024,OTHER,2024-04,미탐지,,,18206
24V561000,HYUNDAI,SANTA FE HYBRID,2024,AIRBAG_SEATBELT,2024-07,미탐지,,,49719
24V561000,HYUNDAI,SANTA FE HYBRID,2024,ELECTRICAL_BATTERY,2024-07,미탐지,,,49719
24V561000,HYUNDAI,SANTA FE,2024,AIRBAG_SEATBELT,2024-07,미탐지,,,49719
24V561000,HYUNDAI,SANTA FE,2024,ELECTRICAL_BATTERY,2024-07,미탐지,,,49719
24V583000,HYUNDAI,SONATA,2024,BRAKES_STEERING,2024-08,미탐지,,,38331
24V761000,HYUNDAI,NEXO,2022,ENGINE_FUEL,2024-10,미탐지,,,1545
24V761000,HYUNDAI,NEXO,2019,ENGINE_FUEL,2024-10,미탐지,,,1545
24V761000,HYUNDAI,NEXO,2020,ENGINE_FUEL,2024-10,미탐지,,,1545
24V761000,HYUNDAI,NEXO,2024,ENGINE_FUEL,2024-10,미탐지,,,1545
24V761000,HYUNDAI,NEXO,2023,ENGINE_FUEL,2024-10,미탐지,,,1545
24V761000,HYUNDAI,NEXO,2021,ENGINE_FUEL,2024-10,미탐지,,,1545
24V920000,KIA,SORENTO PHEV,2025,ENGINE_FUEL,2024-12,미탐지,,,1385
24V843000,HYUNDAI,SANTA FE HYBRID,2024,ELECTRICAL_BATTERY,2024-11,미탐지,,,34964
24V843000,HYUNDAI,SANTA FE HYBRID,2024,VISIBILITY_LIGHTING,2024-11,미탐지,,,34964
24V843000,HYUNDAI,SANTA FE,2024,ELECTRICAL_BATTERY,2024-11,미탐지,,,34964
24V843000,HYUNDAI,SANTA FE,2024,VISIBILITY_LIGHTING,2024-11,미탐지,,,34964
24V338000,KIA,EV9,2024,AIRBAG_SEATBELT,2024-05,미탐지,,,4
24V358000,KIA,NIRO EV,2022,ELECTRICAL_BATTERY,2024-05,미탐지,,,2209
24V400000,KIA,EV9,2024,STRUCTURE_LATCH,2024-06,미탐지,,,2401
24V407000,KIA,TELLURIDE,2020,OTHER,2024-06,탐지,2024-02,4.0,462869
24V407000,KIA,TELLURIDE,2021,OTHER,2024-06,탐지,2024-02,4.0,462869
24V407000,KIA,TELLURIDE,2022,OTHER,2024-06,탐지,2024-03,3.0,462869
24V407000,KIA,TELLURIDE,2023,OTHER,2024-06,탐지,2024-03,3.0,462869
24V407000,KIA,TELLURIDE,2024,OTHER,2024-06,탐지,2024-02,4.0,462869
24V867000,KIA,EV6,2022,ELECTRICAL_BATTERY,2024-11,탐지,2024-04,7.0,62872
24V867000,KIA,EV6,2023,ELECTRICAL_BATTERY,2024-11,탐지,2024-04,7.0,62872
24V867000,KIA,EV6,2024,ELECTRICAL_BATTERY,2024-11,탐지,2024-04,7.0,62872
24V877000,HYUNDAI,SANTA CRUZ,2025,ELECTRICAL_BATTERY,2024-11,미탐지,,,42465
24V877000,HYUNDAI,TUCSON,2025,ELECTRICAL_BATTERY,2024-11,미탐지,,,42465
24V200000,KIA,EV6,2022,ELECTRICAL_BATTERY,2024-03,탐지,2023-05,10.0,48232
24V200000,KIA,EV6,2023,ELECTRICAL_BATTERY,2024-03,탐지,2023-07,8.0,48232
24V200000,KIA,EV6,2024,ELECTRICAL_BATTERY,2024-03,미탐지,,,48232
24V271000,KIA,NIRO EV,2023,ENGINE_FUEL,2024-04,미탐지,,,8
24V271000,KIA,EV9,2024,ENGINE_FUEL,2024-04,미탐지,,,8
24V287000,KIA,SORENTO,2024,ELECTRICAL_BATTERY,2024-04,미탐지,,,95
24V308000,HYUNDAI,VENUE,2024,ENGINE_FUEL,2024-05,미탐지,,,13511
24V308000,HYUNDAI,ELANTRA,2024,ENGINE_FUEL,2024-05,미탐지,,,13511
24V308000,HYUNDAI,KONA,2024,ENGINE_FUEL,2024-05,미탐지,,,13511
24V412000,HYUNDAI,TUCSON,2024,BRAKES_STEERING,2024-06,미탐지,,,795
24V412000,HYUNDAI,SANTA CRUZ,2024,BRAKES_STEERING,2024-06,미탐지,,,795
24V529000,HYUNDAI,SANTA FE,2024,ENGINE_FUEL,2024-07,미탐지,,,12349
24V539000,HYUNDAI,XCIENT,2023,BRAKES_STEERING,2024-07,미탐지,,,35
24V693000,KIA,EV9,2024,BRAKES_STEERING,2024-09,미탐지,,,12400
24V757000,KIA,EV9,2024,ELECTRICAL_BATTERY,2024-10,탐지,2024-09,1.0,14163
24V757000,KIA,EV9,2025,ELECTRICAL_BATTERY,2024-10,미탐지,,,14163
24V868000,HYUNDAI,IONIQ 5,2024,ELECTRICAL_BATTERY,2024-11,탐지,2024-08,3.0,145642
24V868000,HYUNDAI,IONIQ 6,2023,ELECTRICAL_BATTERY,2024-11,탐지,2024-10,1.0,145642
24V868000,HYUNDAI,IONIQ 6,2024,ELECTRICAL_BATTERY,2024-11,미탐지,,,145642
24V868000,HYUNDAI,IONIQ 5,2023,ELECTRICAL_BATTERY,2024-11,탐지,2024-04,7.0,145642
