캠페인,브랜드,모델,연식,부품계통,리콜월,12개월판정,최근경보월,선행개월,잠재대상대수
24V204000,HYUNDAI,IONIQ 5,2024,ELECTRICAL_BATTERY,2024-03,탐지,2023-06,9.0,99055
24V214000,KIA,TELLURIDE,2021,ENGINE_FUEL,2024-03,미탐지,,,427407
24V214000,KIA,TELLURIDE,2022,ENGINE_FUEL,2024-03,미탐지,,,427407
24V204000,HYUNDAI,IONIQ 5,2022,ELECTRICAL_BATTERY,2024-03,미탐지,,,99055
24V214000,KIA,TELLURIDE,2020,ENGINE_FUEL,2024-03,탐지,2024-01,2.0,427407
24V204000,HYUNDAI,IONIQ 5,2023,ELECTRICAL_BATTERY,2024-03,탐지,2023-05,10.0,99055
24V214000,KIA,TELLURIDE,2023,ENGINE_FUEL,2024-03,탐지,2024-01,2.0,427407
24V214000,KIA,TELLURIDE,2024,ENGINE_FUEL,2024-03,미탐지,,,427407
24V691000,HYUNDAI,TUCSON,2025,OTHER,2024-09,미탐지,,,65
24V879000,HYUNDAI,SANTA FE HYBRID,2021,OTHER,2024-11,미탐지,,,226118
24V879000,HYUNDAI,ELANTRA N,2022,OTHER,2024-11,미탐지,,,226118
24V879000,HYUNDAI,SANTA FE PLUG IN HYBRID,2022,OTHER,2024-11,미탐지,,,226118
24V879000,HYUNDAI,SANTA FE HYBRID,2022,OTHER,2024-11,미탐지,,,226118
24V879000,HYUNDAI,SANTA FE,2021,OTHER,2024-11,탐지,2024-03,8.0,226118
24V879000,HYUNDAI,SANTA FE,2022,OTHER,2024-11,탐지,2024-08,3.0,226118
24V879000,HYUNDAI,ELANTRA HYBRID,2022,OTHER,2024-11,탐지,2024-02,9.0,226118
24V879000,HYUNDAI,ELANTRA,2022,OTHER,2024-11,탐지,2024-01,10.0,226118
24V879000,HYUNDAI,ELANTRA,2021,OTHER,2024-11,탐지,2024-06,5.0,226118
24V879000,HYUNDAI,ELANTRA HYBRID,2021,OTHER,2024-11,미탐지,,,226118
25V493000,KIA,K5,2025,STRUCTURE_LATCH,2025-07,미탐지,,,100063
25V797000,HYUNDAI,IONIQ 5,2025,AIRBAG_SEATBELT,2025-11,미탐지,,,1535
25V794000,KIA,K5,2023,ENGINE_FUEL,2025-11,탐지,2025-09,2.0,250547
25V794000,KIA,K5,2021,ENGINE_FUEL,2025-11,탐지,2025-02,9.0,250547
25V794000,KIA,K5,2022,ENGINE_FUEL,2025-11,탐지,2025-08,3.0,250547
25V794000,KIA,K5,2024,ENGINE_FUEL,2025-11,미탐지,,,250547
25V006000,KIA,SORENTO,2024,ELECTRICAL_BATTERY,2025-01,미탐지,,,74469
25V006000,KIA,SORENTO,2024,VISIBILITY_LIGHTING,2025-01,미탐지,,,74469
25V006000,KIA,SORENTO,2025,ELECTRICAL_BATTERY,2025-01,미탐지,,,74469
25V006000,KIA,SORENTO,2025,VISIBILITY_LIGHTING,2025-01,미탐지,,,74469
25V006000,KIA,SORENTO PHEV,2025,ELECTRICAL_BATTERY,2025-01,미탐지,,,74469
25V006000,KIA,SORENTO PHEV,2025,VISIBILITY_LIGHTING,2025-01,미탐지,,,74469
25V006000,KIA,SORENTO HYBRID,2025,ELECTRICAL_BATTERY,2025-01,미탐지,,,74469
25V006000,KIA,SORENTO HYBRID,2025,VISIBILITY_LIGHTING,2025-01,미탐지,,,74469
25V649000,KIA,SORENTO,2021,VISIBILITY_LIGHTING,2025-09,미탐지,,,39536
25V649000,KIA,SORENTO,2021,ELECTRICAL_BATTERY,2025-09,미탐지,,,39536
25V649000,KIA,SORENTO,2022,VISIBILITY_LIGHTING,2025-09,미탐지,,,39536
25V649000,KIA,SORENTO,2022,ELECTRICAL_BATTERY,2025-09,미탐지,,,39536
25V649000,KIA,SORENTO,2023,VISIBILITY_LIGHTING,2025-09,미탐지,,,39536
25V649000,KIA,SORENTO,2023,ELECTRICAL_BATTERY,2025-09,미탐지,,,39536
25V235000,HYUNDAI,IONIQ 5,2025,BRAKES_STEERING,2025-04,미탐지,,,1589
25V291000,HYUNDAI,PALISADE,2025,ENGINE_FUEL,2025-05,미탐지,,,620
25V493000,KIA,K5,2023,STRUCTURE_LATCH,2025-07,미탐지,,,100063
25V493000,KIA,K5,2024,STRUCTURE_LATCH,2025-07,미탐지,,,100063
25V548000,KIA,K4,2025,ENGINE_FUEL,2025-08,미탐지,,,30
25V548000,KIA,SORENTO,2025,ENGINE_FUEL,2025-08,탐지,2025-06,2.0,30
25V605000,HYUNDAI,IONIQ 5,2025,OTHER,2025-09,탐지,2025-05,4.0,8
25V606000,HYUNDAI,IONIQ 6,2023,ELECTRICAL_BATTERY,2025-09,탐지,2024-10,11.0,31042
25V115000,KIA,EV9,2025,ENGINE_FUEL,2025-02,미탐지,,,342
25V115000,KIA,EV9,2025,ELECTRICAL_BATTERY,2025-02,미탐지,,,342
25V482000,HYUNDAI,IONIQ 5,2025,ELECTRICAL_BATTERY,2025-07,미탐지,,,10
25V024000,KIA,NIRO PHEV,2024,OTHER,2025-01,미탐지,,,80255
25V024000,KIA,NIRO PHEV,2024,ELECTRICAL_BATTERY,2025-01,미탐지,,,80255
25V024000,KIA,NIRO PHEV,2023,OTHER,2025-01,미탐지,,,80255
25V024000,KIA,NIRO PHEV,2023,ELECTRICAL_BATTERY,2025-01,미탐지,,,80255
25V024000,KIA,NIRO EV,2025,OTHER,2025-01,미탐지,,,80255
25V024000,KIA,NIRO EV,2025,ELECTRICAL_BATTERY,2025-01,미탐지,,,80255
25V351000,KIA,K5,2025,VISIBILITY_LIGHTING,2025-05,미탐지,,,82281
25V331000,HYUNDAI,DRY VAN TRAILER,2026,STRUCTURE_LATCH,2025-06,미탐지,,,2
25V494000,KIA,TELLURIDE,2023,STRUCTURE_LATCH,2025-07,미탐지,,,201149
25V494000,KIA,TELLURIDE,2024,STRUCTURE_LATCH,2025-07,미탐지,,,201149
25V494000,KIA,TELLURIDE,2025,STRUCTURE_LATCH,2025-07,미탐지,,,201149
25V606000,HYUNDAI,IONIQ 6,2024,ELECTRICAL_BATTERY,2025-09,탐지,2025-01,8.0,31042
25V606000,HYUNDAI,IONIQ 6,2025,ELECTRICAL_BATTERY,2025-09,미탐지,,,31042
25V659000,HYUNDAI,SANTA FE,2024,ELECTRICAL_BATTERY,2025-10,미탐지,,,135386
25V659000,HYUNDAI,SANTA FE,2025,ELECTRICAL_BATTERY,2025-10,미탐지,,,135386
25V549000,HYUNDAI,TUCSON,2025,ENGINE_FUEL,2025-08,미탐지,,,29
25V549000,HYUNDAI,SANTA FE,2025,ENGINE_FUEL,2025-08,미탐지,,,29
25V549000,HYUNDAI,SANTA FE,2026,ENGINE_FUEL,2025-08,미탐지,,,29
25V549000,HYUNDAI,TUCSON,2026,ENGINE_FUEL,2025-08,미탐지,,,29
25V796000,HYUNDAI,SONATA,2020,ENGINE_FUEL,2025-11,탐지,2025-05,6.0,85043
25V796000,HYUNDAI,SONATA,2021,ENGINE_FUEL,2025-11,탐지,2025-03,8.0,85043
25V796000,HYUNDAI,SONATA,2022,ENGINE_FUEL,2025-11,탐지,2025-06,5.0,85043
25V809000,HYUNDAI,SANTA FE,2025,AIRBAG_SEATBELT,2025-11,탐지,2025-10,1.0,258
25V809000,HYUNDAI,SANTA FE,2026,AIRBAG_SEATBELT,2025-11,미탐지,,,258
25V809000,HYUNDAI,SANTA FE HYBRID,2025,AIRBAG_SEATBELT,2025-11,미탐지,,,258
25V796000,HYUNDAI,SONATA,2023,ENGINE_FUEL,2025-11,탐지,2025-07,4.0,85043
25V809000,HYUNDAI,TUCSON,2025,AIRBAG_SEATBELT,2025-11,미탐지,,,258
25V809000,HYUNDAI,SANTA CRUZ,2025,AIRBAG_SEATBELT,2025-11,미탐지,,,258
25V809000,HYUNDAI,SANTA CRUZ,2026,AIRBAG_SEATBELT,2025-11,미탐지,,,258
25V809000,HYUNDAI,SANTA FE HYBRID,2026,AIRBAG_SEATBELT,2025-11,미탐지,,,258
25V065000,HYUNDAI,IONIQ 5,2025,BRAKES_STEERING,2025-02,미탐지,,,1587
25V607000,HYUNDAI,PALISADE,2020,AIRBAG_SEATBELT,2025-09,탐지,2025-01,8.0,568580
25V607000,HYUNDAI,PALISADE,2021,AIRBAG_SEATBELT,2025-09,탐지,2024-12,9.0,568580
25V607000,HYUNDAI,PALISADE,2022,AIRBAG_SEATBELT,2025-09,탐지,2024-12,9.0,568580
25V607000,HYUNDAI,PALISADE,2023,AIRBAG_SEATBELT,2025-09,탐지,2025-01,8.0,568580
25V607000,HYUNDAI,PALISADE,2024,AIRBAG_SEATBELT,2025-09,미탐지,,,568580
25V607000,HYUNDAI,PALISADE,2025,AIRBAG_SEATBELT,2025-09,미탐지,,,568580
25V745000,KIA,TELLURIDE,2025,TIRES_WHEELS,2025-10,미탐지,,,45
25V745000,KIA,SORENTO,2026,TIRES_WHEELS,2025-10,미탐지,,,45
25V808000,HYUNDAI,SANTA FE,2024,OTHER,2025-11,미탐지,,,143472
25V808000,HYUNDAI,SANTA FE,2025,OTHER,2025-11,탐지,2025-10,1.0,143472
25V808000,HYUNDAI,SANTA FE HYBRID,2024,OTHER,2025-11,탐지,2025-07,4.0,143472
25V808000,HYUNDAI,SANTA FE HYBRID,2025,OTHER,2025-11,탐지,2025-08,3.0,143472
25V893000,HYUNDAI,TUCSON,2022,OTHER,2025-12,탐지,2025-11,1.0,51587
25V893000,HYUNDAI,TUCSON,2023,OTHER,2025-12,탐지,2025-10,2.0,51587
25V893000,HYUNDAI,TUCSON,2024,OTHER,2025-12,미탐지,,,51587
25V099000,KIA,SOUL,2023,ENGINE_FUEL,2025-02,미탐지,,,137256
25V099000,KIA,SELTOS,2023,ENGINE_FUEL,2025-02,미탐지,,,137256
25V099000,KIA,SELTOS,2021,ENGINE_FUEL,2025-02,미탐지,,,137256
25V099000,KIA,SELTOS,2022,ENGINE_FUEL,2025-02,미탐지,,,137256
25V099000,KIA,SOUL,2022,ENGINE_FUEL,2025-02,미탐지,,,137256
25V099000,KIA,SOUL,2021,ENGINE_FUEL,2025-02,탐지,2024-02,12.0,137256
25V024000,KIA,NIRO,2025,OTHER,2025-01,미탐지,,,80255
25V024000,KIA,NIRO,2025,ELECTRICAL_BATTERY,2025-01,미탐지,,,80255
25V024000,KIA,NIRO PHEV,2025,OTHER,2025-01,미탐지,,,80255
25V024000,KIA,NIRO PHEV,2025,ELECTRICAL_BATTERY,2025-01,미탐지,,,80255
25V024000,KIA,NIRO,2024,OTHER,2025-01,미탐지,,,80255
25V024000,KIA,NIRO,2024,ELECTRICAL_BATTERY,2025-01,미탐지,,,80255
25V024000,KIA,NIRO EV,2024,OTHER,2025-01,미탐지,,,80255
25V024000,KIA,NIRO EV,2024,ELECTRICAL_BATTERY,2025-01,미탐지,,,80255
25V024000,KIA,NIRO,2023,OTHER,2025-01,탐지,2024-11,2.0,80255
25V024000,KIA,NIRO,2023,ELECTRICAL_BATTERY,2025-01,미탐지,,,80255
25V024000,KIA,NIRO EV,2023,OTHER,2025-01,미탐지,,,80255
25V024000,KIA,NIRO EV,2023,ELECTRICAL_BATTERY,2025-01,미탐지,,,80255
25V064000,HYUNDAI,IONIQ 5,2025,AIRBAG_SEATBELT,2025-02,미탐지,,,33
25V064000,HYUNDAI,IONIQ 5,2025,ELECTRICAL_BATTERY,2025-02,미탐지,,,33
25V874000,KIA,SPORTAGE,2024,OTHER,2025-12,탐지,2025-08,4.0,5046
25V874000,KIA,SPORTAGE,2024,ELECTRICAL_BATTERY,2025-12,탐지,2025-05,7.0,5046
25V874000,KIA,SPORTAGE,2025,OTHER,2025-12,탐지,2025-07,5.0,5046
25V874000,KIA,SPORTAGE,2025,ELECTRICAL_BATTERY,2025-12,탐지,2025-09,3.0,5046
25V874000,KIA,SPORTAGE PHEV,2023,OTHER,2025-12,미탐지,,,5046
25V874000,KIA,SPORTAGE PHEV,2023,ELECTRICAL_BATTERY,2025-12,미탐지,,,5046
25V874000,KIA,SPORTAGE PHEV,2024,OTHER,2025-12,미탐지,,,5046
25V874000,KIA,SPORTAGE PHEV,2024,ELECTRICAL_BATTERY,2025-12,미탐지,,,5046
25V874000,KIA,SPORTAGE PHEV,2025,OTHER,2025-12,미탐지,,,5046
25V874000,KIA,SPORTAGE PHEV,2025,ELECTRICAL_BATTERY,2025-12,미탐지,,,5046
25V373000,HYUNDAI,IONIQ 5,2025,VISIBILITY_LIGHTING,2025-06,미탐지,,,10409
25V426000,KIA,NIRO EV,2020,OTHER,2025-06,미탐지,,,11327
25V426000,KIA,NIRO EV,2021,OTHER,2025-06,미탐지,,,11327
25V426000,KIA,NIRO EV,2022,OTHER,2025-06,미탐지,,,11327
26V160000,HYUNDAI,PALISADE HYBRID,2026,OTHER,2026-03,미탐지,,,61307
26V160000,HYUNDAI,PALISADE,2026,OTHER,2026-03,탐지,2025-10,5.0,61307
26V232000,KIA,CARNIVAL,2026,ENGINE_FUEL,2026-04,미탐지,,,141032
26V232000,KIA,CARNIVAL,2022,ENGINE_FUEL,2026-04,탐지,2025-08,8.0,141032
26V232000,KIA,CARNIVAL,2023,ENGINE_FUEL,2026-04,미탐지,,,141032
26V232000,KIA,CARNIVAL,2024,ENGINE_FUEL,2026-04,탐지,2025-11,5.0,141032
26V232000,KIA,CARNIVAL,2025,ENGINE_FUEL,2026-04,탐지,2025-06,10.0,141032
26V254000,HYUNDAI,TUCSON PLUG IN HYBRID,2026,AIRBAG_SEATBELT,2026-04,미탐지,,,2931
26V254000,HYUNDAI,ELANTRA,2026,AIRBAG_SEATBELT,2026-04,미탐지,,,2931
26V254000,HYUNDAI,ELANTRA N,2025,AIRBAG_SEATBELT,2026-04,미탐지,,,2931
26V254000,HYUNDAI,TUCSON,2026,AIRBAG_SEATBELT,2026-04,미탐지,,,2931
26V254000,HYUNDAI,TUCSON HYBRID,2026,AIRBAG_SEATBELT,2026-04,미탐지,,,2931
26V307000,HYUNDAI,ELANTRA GT,2016,AIRBAG_SEATBELT,2026-05,미탐지,,,3493
26V307000,HYUNDAI,ELANTRA,2015,AIRBAG_SEATBELT,2026-05,미탐지,,,3493
26V307000,HYUNDAI,ELANTRA,2016,AIRBAG_SEATBELT,2026-05,탐지,2025-12,5.0,3493
26V316000,HYUNDAI,TUCSON,2025,OTHER,2026-05,탐지,2025-08,9.0,423062
26V316000,HYUNDAI,TUCSON,2026,OTHER,2026-05,탐지,2026-03,2.0,423062
26V316000,HYUNDAI,TUCSON PLUG IN HYBRID,2026,OTHER,2026-05,미탐지,,,423062
26V316000,HYUNDAI,SANTA CRUZ,2026,OTHER,2026-05,미탐지,,,423062
26V046000,KIA,SPORTAGE PHEV,2026,ELECTRICAL_BATTERY,2026-01,미탐지,,,42677
26V046000,KIA,SORENTO PHEV,2026,ELECTRICAL_BATTERY,2026-01,미탐지,,,42677
26V046000,KIA,SORENTO PHEV,2025,ELECTRICAL_BATTERY,2026-01,미탐지,,,42677
26V046000,KIA,SPORTAGE HYBRID,2026,ELECTRICAL_BATTERY,2026-01,미탐지,,,42677
26V046000,KIA,SPORTAGE,2026,ELECTRICAL_BATTERY,2026-01,미탐지,,,42677
26V046000,KIA,K5,2026,ELECTRICAL_BATTERY,2026-01,미탐지,,,42677
26V046000,KIA,EV9,2026,ELECTRICAL_BATTERY,2026-01,미탐지,,,42677
26V046000,KIA,CARNIVAL HYBRID,2026,ELECTRICAL_BATTERY,2026-01,미탐지,,,42677
26V046000,KIA,CARNIVAL,2026,ELECTRICAL_BATTERY,2026-01,미탐지,,,42677
26V046000,KIA,SORENTO HYBRID,2026,ELECTRICAL_BATTERY,2026-01,미탐지,,,42677
26V046000,KIA,SORENTO HYBRID,2025,ELECTRICAL_BATTERY,2026-01,미탐지,,,42677
26V046000,KIA,SORENTO,2026,ELECTRICAL_BATTERY,2026-01,미탐지,,,42677
26V046000,KIA,SORENTO,2025,ELECTRICAL_BATTERY,2026-01,탐지,2025-12,1.0,42677
26V046000,KIA,K4,2025,ELECTRICAL_BATTERY,2026-01,미탐지,,,42677
26V047000,HYUNDAI,IONIQ 5,2026,ELECTRICAL_BATTERY,2026-01,미탐지,,,41651
26V047000,HYUNDAI,KONA,2026,ELECTRICAL_BATTERY,2026-01,미탐지,,,41651
26V047000,HYUNDAI,PALISADE,2026,ELECTRICAL_BATTERY,2026-01,탐지,2025-12,1.0,41651
26V047000,HYUNDAI,PALISADE HYBRID,2026,ELECTRICAL_BATTERY,2026-01,미탐지,,,41651
26V316000,HYUNDAI,TUCSON PLUG IN HYBRID,2025,OTHER,2026-05,미탐지,,,423062
26V316000,HYUNDAI,TUCSON HYBRID,2025,OTHER,2026-05,미탐지,,,423062
26V316000,HYUNDAI,TUCSON HYBRID,2026,OTHER,2026-05,미탐지,,,423062
26V316000,HYUNDAI,SANTA CRUZ,2025,OTHER,2026-05,탐지,2025-10,7.0,423062
26V047000,HYUNDAI,SANTA CRUZ,2026,ELECTRICAL_BATTERY,2026-01,미탐지,,,41651
26V047000,HYUNDAI,SANTA FE,2026,ELECTRICAL_BATTERY,2026-01,미탐지,,,41651
26V047000,HYUNDAI,SANTA FE HYBRID,2026,ELECTRICAL_BATTERY,2026-01,미탐지,,,41651
26V047000,HYUNDAI,SONATA,2026,ELECTRICAL_BATTERY,2026-01,미탐지,,,41651
26V047000,HYUNDAI,SONATA HYBRID,2026,ELECTRICAL_BATTERY,2026-01,미탐지,,,41651
26V047000,HYUNDAI,TUCSON,2026,ELECTRICAL_BATTERY,2026-01,미탐지,,,41651
26V047000,HYUNDAI,TUCSON HYBRID,2025,ELECTRICAL_BATTERY,2026-01,탐지,2025-06,7.0,41651
26V047000,HYUNDAI,TUCSON HYBRID,2026,ELECTRICAL_BATTERY,2026-01,미탐지,,,41651
26V047000,HYUNDAI,TUCSON PLUG IN HYBRID,2025,ELECTRICAL_BATTERY,2026-01,미탐지,,,41651
26V047000,HYUNDAI,TUCSON PLUG IN HYBRID,2026,ELECTRICAL_BATTERY,2026-01,미탐지,,,41651
26V135000,KIA,K4,2026,AIRBAG_SEATBELT,2026-03,미탐지,,,14870
26V169000,HYUNDAI,PALISADE HYBRID,2026,AIRBAG_SEATBELT,2026-03,미탐지,,,46787
26V169000,HYUNDAI,PALISADE,2026,AIRBAG_SEATBELT,2026-03,미탐지,,,46787
26V308000,HYUNDAI,ELANTRA HYBRID,2024,ELECTRICAL_BATTERY,2026-05,미탐지,,,54337
26V308000,HYUNDAI,ELANTRA HYBRID,2025,ELECTRICAL_BATTERY,2026-05,미탐지,,,54337
26V314000,HYUNDAI,IONIQ 5,2025,OTHER,2026-05,탐지,2025-05,12.0,172
26V314000,HYUNDAI,IONIQ 9,2026,OTHER,2026-05,탐지,2026-03,2.0,172
26V218000,HYUNDAI,SANTA FE,2024,AIRBAG_SEATBELT,2026-04,미탐지,,,294448
26V218000,HYUNDAI,SANTA FE,2025,AIRBAG_SEATBELT,2026-04,탐지,2025-10,6.0,294448
26V218000,HYUNDAI,SANTA FE,2026,AIRBAG_SEATBELT,2026-04,미탐지,,,294448
26V218000,HYUNDAI,IONIQ 6,2025,AIRBAG_SEATBELT,2026-04,미탐지,,,294448
26V218000,HYUNDAI,SANTA FE HYBRID,2024,AIRBAG_SEATBELT,2026-04,미탐지,,,294448
26V218000,HYUNDAI,SANTA FE HYBRID,2025,AIRBAG_SEATBELT,2026-04,미탐지,,,294448
26V218000,HYUNDAI,SANTA FE HYBRID,2026,AIRBAG_SEATBELT,2026-04,미탐지,,,294448
26V400000,HYUNDAI,TUCSON,2025,ELECTRICAL_BATTERY,2026-06,탐지,2025-07,11.0,96310
26V400000,HYUNDAI,TUCSON,2026,ELECTRICAL_BATTERY,2026-06,미탐지,,,96310
26V400000,HYUNDAI,TUCSON HYBRID,2025,ELECTRICAL_BATTERY,2026-06,탐지,2025-06,12.0,96310
26V400000,HYUNDAI,TUCSON HYBRID,2026,ELECTRICAL_BATTERY,2026-06,미탐지,,,96310
26V400000,HYUNDAI,TUCSON PLUG IN HYBRID,2025,ELECTRICAL_BATTERY,2026-06,미탐지,,,96310
26V400000,HYUNDAI,TUCSON PLUG IN HYBRID,2026,ELECTRICAL_BATTERY,2026-06,미탐지,,,96310
26V218000,HYUNDAI,IONIQ 6,2024,AIRBAG_SEATBELT,2026-04,미탐지,,,294448
26V218000,HYUNDAI,IONIQ 6,2023,AIRBAG_SEATBELT,2026-04,미탐지,,,294448
26V105000,KIA,TELLURIDE,2025,OTHER,2026-02,탐지,2025-11,3.0,85515
26V034000,HYUNDAI,PALISADE,2025,AIRBAG_SEATBELT,2026-01,탐지,2025-11,2.0,568576
26V034000,HYUNDAI,PALISADE,2024,AIRBAG_SEATBELT,2026-01,탐지,2025-11,2.0,568576
26V068000,HYUNDAI,IONIQ 9,2026,ELECTRICAL_BATTERY,2026-02,미탐지,,,27
26V069000,HYUNDAI,KONA,2026,BRAKES_STEERING,2026-02,미탐지,,,4555
26V068000,HYUNDAI,IONIQ 5,2026,ELECTRICAL_BATTERY,2026-02,미탐지,,,27
26V068000,HYUNDAI,IONIQ 5,2025,ELECTRICAL_BATTERY,2026-02,탐지,2025-11,3.0,27
26V034000,HYUNDAI,PALISADE,2022,AIRBAG_SEATBELT,2026-01,미탐지,,,568576
26V034000,HYUNDAI,PALISADE,2021,AIRBAG_SEATBELT,2026-01,미탐지,,,568576
26V034000,HYUNDAI,PALISADE,2023,AIRBAG_SEATBELT,2026-01,탐지,2025-12,1.0,568576
26V034000,HYUNDAI,PALISADE,2020,AIRBAG_SEATBELT,2026-01,탐지,2025-10,3.0,568576
26V308000,HYUNDAI,ELANTRA HYBRID,2026,ELECTRICAL_BATTERY,2026-05,미탐지,,,54337
